Time_sample,Time_h,Bus,DSS_V_A_V,DSS_V_B_V,DSS_V_C_V,DSS_angle_A_deg,DSS_angle_B_deg,DSS_angle_C_deg,DSS_V_A_pu,DSS_V_B_pu,DSS_V_C_pu,DSS_V_max_pu,DSS_V_min_pu
30,0.5,feeder2_1818,254.03330993652344,254.03443908691406,253.09918212890625,-29.145923614501953,-148.8121337890625,90.79655456542969,1.0999964990623756,1.1000013884269906,1.095951607003486,1.1000013884269906,1.095951607003486
60,1.0,feeder2_1818,254.03150939941406,254.0337371826172,253.9367218017578,-28.961063385009766,-148.99851989746094,90.8755111694336,1.0999887025079897,1.09999834909223,1.0995782601703197,1.09999834909223,1.0995782601703197
90,1.5,feeder2_1818,254.03443908691406,254.00106811523438,254.03265380859375,-29.099428176879883,-148.96290588378906,91.06771850585938,1.1000013884269906,1.0998568878808728,1.0999936579450995,1.1000013884269906,1.0998568878808728
120,2.0,feeder2_1818,253.8106689453125,254.0345001220703,254.01123046875,-28.958328247070312,-148.90679931640625,90.9046401977539,1.0990324352908136,1.1000016527169698,1.0999008921624065,1.1000016527169698,1.0990324352908136
150,2.5,feeder2_1818,254.0348358154297,254.0336151123047,254.0338592529297,-29.0429744720459,-148.86094665527344,91.0147705078125,1.1000031063118552,1.0999978205122716,1.0999988776721883,1.1000031063118552,1.0999978205122716
180,3.0,feeder2_1818,254.03465270996094,254.0333251953125,254.0341339111328,-29.099395751953125,-148.92910766601562,91.1061019897461,1.1000023134419177,1.0999965651348704,1.1000000669770946,1.1000023134419177,1.0999965651348704
210,3.5,feeder2_1818,254.00604248046875,254.03453063964844,253.5956268310547,-29.12431526184082,-148.92945861816406,91.048583984375,1.099878427514176,1.1000017848619594,1.0981012756216597,1.1000017848619594,1.0981012756216597
240,4.0,feeder2_1818,243.40628051757812,243.40670776367188,243.02578735351562,-28.65018081665039,-148.4788360595703,91.50141906738281,1.0539801118445196,1.0539819618743738,1.0523325281142974,1.0539819618743738,1.0523325281142974
270,4.5,feeder2_1818,243.86810302734375,243.7084197998047,244.6873016357422,-28.43816375732422,-148.44288635253906,91.53809356689453,1.0559798619720022,1.0552884133139666,1.0595270960000918,1.0595270960000918,1.0552884133139666
300,5.0,feeder2_1818,244.81729125976562,245.5103759765625,245.46914672851562,-28.366683959960938,-148.3343048095703,91.76244354248047,1.0600899675832551,1.0630911124418594,1.0629125845609217,1.0630911124418594,1.0600899675832551
330,5.5,feeder2_1818,244.31776428222656,244.66114807128906,244.5409393310547,-28.445566177368164,-148.3536376953125,91.6868667602539,1.0579269523211328,1.059413847744012,1.0588933286300126,1.059413847744012,1.0579269523211328
360,6.0,feeder2_1818,247.23165893554688,246.1280517578125,245.39639282226562,-28.302053451538086,-148.06008911132812,91.56915283203125,1.070544486289768,1.0657657270311838,1.0625975509057364,1.070544486289768,1.0625975509057364
390,6.5,feeder2_1818,250.7208709716797,251.57696533203125,251.71939086914062,-28.553312301635742,-148.49420166015625,91.6496810913086,1.0856532176021751,1.0893602149226804,1.0899769355891022,1.0899769355891022,1.0856532176021751
420,7.0,feeder2_1818,253.6345977783203,254.03463745117188,254.0347442626953,-29.36986541748047,-148.9340362548828,91.08192443847656,1.0982700247733677,1.1000022473694229,1.1000027098768865,1.1000027098768865,1.0982700247733677
450,7.5,feeder2_1818,254.03334045410156,254.0343780517578,253.02049255371094,-28.87806510925293,-149.02427673339844,90.7774658203125,1.0999966312073652,1.1000011241370113,1.0956108711478252,1.1000011241370113,1.0956108711478252
480,8.0,feeder2_1818,254.03298950195312,254.03396606445312,251.01467895507812,-29.174448013305664,-148.82843017578125,90.58597564697266,1.099995111539985,1.099999340179652,1.0869254434894637,1.099999340179652,1.0869254434894637
510,8.5,feeder2_1818,254.03500366210938,254.03419494628906,252.6697998046875,-29.199481964111328,-148.90206909179688,90.75070190429688,1.100003833109298,1.1000003312670739,1.0940923269999387,1.100003833109298,1.0940923269999387
540,9.0,feeder2_1818,254.03416442871094,252.51405334472656,252.80445861816406,-29.081546783447266,-149.17300415039062,90.69403076171875,1.1000001991220842,1.0934179250455605,1.0946754167665096,1.1000001991220842,1.0934179250455605
570,9.5,feeder2_1818,254.0338592529297,251.41595458984375,252.66864013671875,-28.871143341064453,-149.27951049804688,90.55526733398438,1.0999988776721883,1.0886630179575976,1.0940873054903342,1.0999988776721883,1.0886630179575976
600,10.0,feeder2_1818,254.0345001220703,254.03433227539062,249.81039428710938,-29.18130111694336,-148.9251251220703,90.41991424560547,1.1000016527169698,1.100000925919527,1.0817107379102184,1.1000016527169698,1.0817107379102184
630,10.5,feeder2_1818,252.39028930664062,252.99913024902344,252.44117736816406,-29.516685485839844,-149.32373046875,90.69499206542969,1.0928820110402735,1.0955183696551114,1.0931023628104168,1.0955183696551114,1.0928820110402735
660,11.0,feeder2_1818,251.1279754638672,250.5247039794922,254.03497314453125,-29.206575393676758,-149.79049682617188,90.58885192871094,1.0874160317633208,1.0848037896090834,1.1000037009643084,1.1000037009643084,1.0848037896090834
690,11.5,feeder2_1818,253.81874084472656,251.59033203125,253.55735778808594,-29.10789680480957,-149.25778198242188,90.62599182128906,1.0990673876405606,1.0894180944281213,1.0979355658047125,1.0990673876405606,1.0894180944281213
